id,trip_duration
id3004672,883.14935
id3505355,599.93835
id1217141,391.76962
id2150126,992.7199
id1598245,308.5979
id0668992,938.2098
id1765014,958.7675
id0898117,830.9216
id3905224,2844.8691
id1543102,555.082
id3024712,1051.7391
id3665810,317.53122
id1836461,361.07864
id3457080,675.3836
id3376065,1188.3298
id3008739,861.9711
id0902216,1034.3175
id3564824,517.363
id0820280,167.6103
id0775088,1128.3473
id1468488,294.0148
id2657479,440.3175
id1262719,676.44714
id1345524,1178.6935
id2911638,946.8209
id2849512,1436.4857
id0236829,418.49838
id2905906,428.34164
id3737939,1143.3641
id0766179,1874.5762
id3422639,405.6259
id3864673,1423.5374
id2052707,634.981
id0591443,717.17896
id1686925,1256.2686
id0429284,742.7559
id1860783,1001.73804
id0928636,175.8292
id3904914,427.22815
id2844603,1481.013
id3400686,733.017
id1408427,1835.4475
id1712395,812.2545
id2475053,853.80804
id3485082,573.8838
id0827714,382.4308
id2765337,301.70148
id3139513,983.1891
id1823365,172.4181
id2690061,772.86444
id2214549,617.96844
id0552977,507.38467
id1556775,605.4312
id0364901,800.62756
id3345419,1052.9004
id0814840,2298.6733
id3159174,1926.4504
id3650870,1285.6965
id2576205,500.3788
id3408993,555.1642
id1969762,892.9966
id3043563,947.58185
id0697361,222.81451
id0527242,977.0651
id1890566,939.6979
id0882843,2128.8594
id2126329,2785.579
id3443802,555.7779
id1114580,710.34955
id2529811,918.58777
id1792589,542.41016
id0071844,780.515
id3468683,423.7245
id2108605,697.41656
id3353510,557.8886
id1707352,1405.7894
id1650458,967.99255
id2175910,867.2258
id1443779,606.1317
id2459479,1968.2288
id0358410,1007.5821
id0582396,801.3882
id2262648,512.04156
id2422279,605.83826
id3993739,793.38556
id2578671,765.2548
id3313356,268.72067
id0526259,827.3839
id2384843,897.1956
id1266405,321.8354
id2043002,1037.666
id1284494,629.8531
id0226404,986.2894
id1170300,2239.786
id1309256,1636.8883
id3645922,842.0729
id1595264,709.2223
id2594446,978.3723
id0777968,877.69354
id0426749,1041.4152
id1300331,297.15778
id1220261,569.9668
id2859902,370.91998
id2726399,463.0825
id1653770,993.93463
id2785851,400.86325
id2023315,1012.77313
id0603959,669.9887
id0521659,1212.8066
id2972142,617.1509
id0127362,741.45514
id0349746,634.9237
id3125801,1284.722
id2552900,1223.0157
id3564322,1032.8286
id2217703,654.726
id2125163,744.22314
id1668771,1335.3588
id0448827,358.60062
id0684597,243.28577
id2485399,592.3082
id1804505,1350.4358
id3202512,530.69934
id3544706,828.07745
id0976070,241.13959
id2451797,949.2927
id0377405,328.14795
id2195452,563.31134
id0876799,735.71704
id3716230,737.9004
id0392392,373.01038
id1615256,703.24316
id1358922,241.83289
id2648035,948.0958
id2678173,214.76006
id1760464,1377.2423
id3723177,391.41092
id2111062,440.2523
id1353681,1301.0004
id2604302,482.84824
id1442028,290.97626
id3094517,467.51028
id0130846,922.53784
id1177771,581.91895
id0276992,2529.5757
id3214777,524.2819
id3613100,386.268
id3196583,559.46423
id3273243,1813.6775
id0585259,662.41315
id0562890,394.45905
id2584115,817.722
id2329025,1209.9994
id0975674,768.68134
id0139753,715.1552
id0394293,274.0731
id2144237,490.50687
id0495393,1283.8107
id1671429,386.48077
id1155279,931.0088
id3780029,1398.9651
id3759898,1733.6897
id2068572,322.50186
id3029354,211.20312
id1233395,1034.5411
id1971234,507.22833
id2146947,309.63272
id0248956,1530.6987
id2832032,300.465
id3381322,348.89966
id3174102,769.76404
id3841591,705.749
id2828449,1393.1648
id0132202,326.2768
id2155048,165.41486
id1478994,928.4312
id0152661,249.93518
id2557936,570.44806
id1132188,877.98895
id2600155,181.80374
id1370403,2123.606
id1391881,428.7933
id0469584,846.59753
id1884057,1043.4316
id3437390,225.76796
id2139791,1440.1377
id2824398,631.4093
id2349329,780.9116
id2767155,657.467
id2510692,1209.7003
id0572623,1400.6979
id1394395,839.716
id1555305,2150.5483
id2420516,260.8067
id1500597,1295.2931
id1899288,168.74704
id1472524,238.86935
id1993020,1441.0017
id2273329,533.3121
id0927586,885.6424
id3405349,1422.2521
id2695311,1626.3352
id1383806,1294.4211
id1457117,632.2168
id2319880,282.19016
id0012779,2331.8647
id0188228,217.83846
id0531829,832.0414
id2839388,542.26227
id3588198,247.91365
id1534831,442.19543
id0701015,551.8016
id3953534,619.01654
id2307884,1104.3053
id0778023,212.9565
id1308073,490.71994
id0576533,861.7284
id1349994,767.21246
id2467928,790.4123
id3351750,179.67978
id3562352,1761.0726
id0428290,917.70374
id0271028,1402.3123
id3718272,763.2242
id2509234,288.12128
id1388591,794.9295
id3122246,262.4158
id1842326,817.9559
id3529394,431.34747
id1520129,1287.9509
id0338551,487.80408
id1208751,450.8824
id3406262,680.1917
id1769589,1373.9963
id2867593,258.1082
id0822086,416.32147
id1309623,1498.6354
id0837556,1485.7878
id0641228,588.8122
id3095104,588.0524
id1193445,767.14655
id3426325,487.3344
id2006840,279.33395
id0138642,293.57666
id1913117,521.68744
id1911604,340.62366
id0388204,804.3604
id0376313,1157.2373
id1789441,880.6894
id1420079,1061.6865
id2351880,577.1329
id1397275,714.4811
id0390786,1098.5298
id0546256,744.9161
id3660485,576.3992
id0333608,262.09268
id2182578,434.8924
id1158338,587.2937
id2081327,323.73145
id0570771,842.9598
id1164851,616.9077
id2301122,628.14166
id0621806,370.70245
id2346650,451.0371
id2142929,1175.7008
id1571334,631.62946
id1332117,132.85774
id2392119,491.4133
id3309614,933.78656
id2690377,643.9827
id3496031,266.17554
id2957189,457.57736
id2015806,1226.7803
id0421433,630.9951
id1760508,619.7028
id2414773,849.76483
id3365425,533.1944
id1125828,542.25885
id1593512,807.9653
id2412190,1304.4668
id0644919,579.49133
id1827002,723.15936
id3975362,575.5356
id1134963,362.09283
id3928491,1161.8715
id1796952,479.41678
id2437301,290.48782
id2414272,385.03162
id3487254,583.8339
id1516431,265.26263
id3636941,422.98755
id0033058,416.08713
id3650802,500.92108
id1107166,989.31976
id0352882,276.99683
id1766227,922.8259
id1195534,749.1396
id1059684,1722.4677
id0940199,398.9245
id2528163,343.6322
id0919966,1192.2284
id2826168,1023.9287
id2170803,256.3425
id2000184,1054.7826
id2101417,1862.2134
id3375121,635.98773
id1202903,1327.5939
id2255141,1009.2147
id3965726,440.17654
id2656610,1858.569
id0434956,511.65277
id1877189,942.06744
id3040815,959.3732
id0093716,212.8854
id1103050,478.52966
id1422184,1233.4827
id0864746,570.26746
id2755735,740.1418
id3112806,936.8489
id0739111,1709.4934
id1791696,652.6073
id1963006,1224.1515
id1373197,576.6418
id3708923,465.84222
id3726580,1016.3275
id1787838,635.2079
id3340304,810.8678
id2846350,590.5734
id0047251,516.61676
id1753016,1578.4884
id2953343,524.89667
id3107674,477.4149
id0002608,416.1068
id2990394,746.0722
id3598152,633.3089
id2346163,785.44244
id2584584,334.25146
id2727364,302.13785
id0797438,547.42664
id2117187,662.2784
id3317688,544.67334
id3961925,868.5089
id3147489,318.57916
id3484246,233.43594
id2093374,729.0764
id0679904,270.24982
id0626723,902.5954
id1576197,589.08813
id0824689,638.2302
id1676272,861.8913
id0627637,916.4246
id2345037,184.35173
id3961005,1656.0688
id0676864,715.47833
id1118396,844.07324
id3033320,252.90462
id2737671,780.50494
id2555095,493.8219
id2216054,1365.8491
id1879755,598.8344
id0195472,328.4056
id3264821,401.95758
id3321859,199.87596
id3083909,204.13338
id2799048,1140.2363
id3809466,1167.3834
id0658141,306.20734
id3871456,951.02344
id3362959,1185.9368
id1123000,1435.8368
id0426056,510.52585
id3169766,1170.3802
id3783179,728.70294
id1470916,2911.4236
id3812808,1465.0215
id0625495,361.79794
id2177275,505.34955
id1669881,1253.9062
id0175084,453.94055
id0721910,767.7522
id2340579,469.68814
id2685023,1219.2046
id3482357,2069.5234
id2245371,752.42535
id1278193,810.6069
id1158031,202.29472
id1509114,240.98804
id2751524,689.17346
id3129627,1151.5841
id1635850,1479.5431
id0028611,1406.749
id2786840,1022.5084
id1325493,580.11755
id1597746,538.554
id3147950,1963.1833
id1045588,916.2929
id1022607,1221.586
id0337753,468.0689
id0141150,556.04346
id0868004,618.49817
id2736277,1113.4642
id1823119,356.8523
id3641265,1846.8792
id2368838,802.7779
id3853565,375.94034
id1643361,1591.0723
id1939982,670.8852
id1415311,820.64154
id0830841,1455.6118
id0202012,617.0197
id3746505,759.0834
id0076494,1562.6608
id2025500,430.7214
id0088193,552.0106
id2329216,1271.6167
id2600913,338.8533
id2191170,207.08792
id3826806,1520.2058
id3599247,907.7464
id2907509,378.4729
id2142979,434.8606
id0985073,582.4532
id2824393,547.37177
id1614902,214.72375
id2495395,1135.134
id0814791,297.0422
id0152911,2243.1018
id0794895,461.25116
id2923064,264.4208
id0959089,1658.3643
id2208629,1192.5414
id2723280,973.5396
id0729657,1501.6418
id0516790,1390.0371
id3794167,725.2096
id2431791,369.6439
id3588190,538.88214
id3087426,463.27173
id1953265,955.95575
id0146166,470.28757
id0730321,771.1254
id1744015,2640.2356
id2628803,633.873
id1819594,697.3809
id2637651,660.8743
id0259366,883.7461
id3199513,276.42993
id2109085,948.09174
id0230139,382.84402
id0395122,519.24365
id3847172,204.66608
id0246436,437.5909
id0050172,904.24713
id0588163,623.32513
id0957129,950.6812
id1181152,2324.7861
id2318002,1646.3359
id1152721,283.86304
id0578867,398.41165
id1674283,401.48535
id1009060,1023.1553
id1499822,397.06894
id0935271,1694.1263
id1439169,1340.7113
id2468154,1238.0265
id2315902,616.23016
id2465729,554.0671
id2999912,468.89386
id2963678,1078.72
id1089607,298.52704
id3887389,601.8397
id3447831,952.2608
id1160954,446.042
id3333729,328.48935
id3489866,720.7566
id3357285,518.5604
id1550743,558.94543
id0560933,2149.1504
id0731119,460.08994
id3956524,410.0912
id1658832,340.37842
id0977424,643.61926
id3419570,741.5157
id1539496,207.20673
id2872013,842.50275
id0977363,337.59616
id1644673,908.564
id3170119,863.9663
id0013519,1636.7181
id3620369,596.41327
id0995729,1077.2213
id1199993,408.47598
id0870823,976.72144
id1746769,396.30017
id1761621,329.26215
id0955952,460.83453
id3450911,600.4911
id2035696,1576.6646
id2685850,344.70386
id2305039,303.73218
id2884385,319.63754
id1973660,1475.8138
id1062131,1401.472
id3853357,1456.1022
id1236685,687.4695
id3602303,576.93243
id1806638,281.5003
id3400677,581.882
id1138267,804.35004
id0736053,209.6366
id2319364,1788.27
id3116733,273.83658
id3771556,196.99634
id0124891,896.27136
id1760392,683.7254
id0070646,687.55914
id0637820,292.24554
id2171415,1356.742
id0214866,563.44775
id3982336,1367.1598
id1949435,368.89246
id3246513,1735.3796
id2946250,581.418
id2113754,524.21356
id2465667,1099.4314
id2868489,981.2458
id3738374,571.15533
id3806418,1575.9454
id0081589,382.43518
id3693868,916.02
id1945307,781.77783
id0564753,392.08157
id1693645,702.9074
id1058341,371.43127
id3739596,466.63092
id2778151,1397.8181
id0577386,672.5118
id1889859,832.337
id2249268,714.2208
id1049228,794.1788
id0973170,411.3852
id1324212,532.32367
id1359008,431.7468
id0872795,1249.9286
id3527829,922.18475
id3535712,1719.482
id2397242,591.68896
id3756802,1554.1149
id3508470,1001.6873
id1777188,909.19836
id2473995,748.0219
id3283801,530.3012
id1256163,404.99466
id2210196,654.92993
id3616238,196.98048
id0325977,553.1182
id3427401,358.9271
id3767523,814.4819
id3717962,705.4879
id3830804,316.69998
id0881865,219.31863
id0001777,2745.0393
id0807434,315.94992
id0214412,300.69897
id0036742,2099.6228
