user_id,user_link,user_name,user_nationality,level_tag,user_level,badge_tag,user_badge,game_tag,user_games,Cluster
76561198128916823,https://steamcommunity.com/profiles/76561198128916823/,Solaire,"Cox's Bazar, Bangladesh",50-100,52,20-50,24,100-500,138,0
76561198355511523,https://steamcommunity.com/profiles/76561198355511523/,洪七公,"Changzhou, Jiangsu, China",20-50,20,0-20,7,50-100,96,0
76561198100679350,https://steamcommunity.com/profiles/76561198100679350/,上条利露,China,0-20,16,0-20,9,50-100,86,0
76561198145002915,https://steamcommunity.com/profiles/76561198145002915/,sadness,"Yunnan, China",100-200,131,100-500,428,1000-2000,1748,1
xxxibgdrgn5421,https://steamcommunity.com/id/xxxibgdrgn5421/,xxxibgdrgn,China,50-100,51,50-100,75,500-1000,517,0
76561198976383505,https://steamcommunity.com/profiles/76561198976383505/,魔法少女芙乐艾,,0-20,18,0-20,10,50-100,54,0
76561199137072421,https://steamcommunity.com/profiles/76561199137072421/,深情且专一,"New York, United States",0-20,15,0-20,7,50-100,58,0
bigu233,https://steamcommunity.com/id/bigu233/,子休,China,50-100,50,50-100,50,100-500,281,0
76561198817278451,https://steamcommunity.com/profiles/76561198817278451/,蒋杨brisksnow,,0-20,18,0-20,11,50-100,80,0
76561198059346900,https://steamcommunity.com/profiles/76561198059346900/,KillYesterday,China,50-100,57,None,-1,None,-1,0
76561199114240452,https://steamcommunity.com/profiles/76561199114240452/,MorTal XaV1er,"Chongqing, Chongqing, China",100-200,113,100-500,120,1000-2000,1204,1
illagercpr,https://steamcommunity.com/id/illagercpr/,illagerCPR,China,20-50,22,0-20,16,100-500,107,0
76561198812959693,https://steamcommunity.com/profiles/76561198812959693/,我是钩子大王,China,0-20,14,0-20,6,50-100,52,0
2660509144,https://steamcommunity.com/id/2660509144/,あなた,"Taipei, T'ai-pei, Taiwan",20-50,43,20-50,20,100-500,224,0
76561199529813642,https://steamcommunity.com/profiles/76561199529813642/,Kirito,,0-20,9,0-20,3,0-20,19,0
76561198356131080,https://steamcommunity.com/profiles/76561198356131080/,黑曼巴悟空,"Hunan, China",0-20,19,0-20,18,100-500,342,0
76561198342746237,https://steamcommunity.com/profiles/76561198342746237/,Arsenal,"Peking, Beijing, China",100-200,151,100-500,227,100-500,384,1
xxxxqr,https://steamcommunity.com/id/xxxxqr/,沈腾逼岳雲鵬憋屁,China,20-50,22,0-20,19,100-500,285,0
76561199147881843,https://steamcommunity.com/profiles/76561199147881843/,好叶！,,0-20,12,0-20,11,20-50,36,0
76561198206975323,https://steamcommunity.com/profiles/76561198206975323/,星辉辉,"Weifang, Shandong, China",20-50,38,20-50,22,50-100,97,0
76561198411310816,https://steamcommunity.com/profiles/76561198411310816/,Aronin🍃,China,50-100,61,50-100,72,100-500,245,0
76561198402139512,https://steamcommunity.com/profiles/76561198402139512/,贝拉拉贝拉,,,-1,None,-1,None,-1,0
Nafoul,https://steamcommunity.com/id/Nafoul/,Nafoul,"Shenzhen, Guangdong, China",100-200,111,50-100,99,500-1000,909,1
76561199181771773,https://steamcommunity.com/profiles/76561199181771773/,The Young Man,,0-20,12,0-20,14,100-500,117,0
76561198305519235,https://steamcommunity.com/profiles/76561198305519235/,Dragon,,0-20,10,None,-1,None,-1,0
76561198145706790,https://steamcommunity.com/profiles/76561198145706790/,Lin.天命人,,0-20,10,0-20,6,20-50,33,0
76561198801280517,https://steamcommunity.com/profiles/76561198801280517/,hanccess,"Laiwu, Shandong, China",0-20,17,0-20,14,100-500,183,0
76561198819659685,https://steamcommunity.com/profiles/76561198819659685/,1760140626,,0-20,9,0-20,9,50-100,55,0
76561199180157108,https://steamcommunity.com/profiles/76561199180157108/,Ank3,China,50-100,80,100-500,125,100-500,260,1
1056348167,https://steamcommunity.com/id/1056348167/,吃掉小马,China,50-100,63,50-100,70,100-500,454,2
76561198099330137,https://steamcommunity.com/profiles/76561198099330137/,CadillacYz,"Xian, Shaanxi, China",0-20,9,0-20,5,20-50,38,0
Chu-He,https://steamcommunity.com/id/Chu-He/,楚楚河河,"Guangdong, China",50-100,61,50-100,53,50-100,97,0
76561198400385745,https://steamcommunity.com/profiles/76561198400385745/,KunEnd,,0-20,8,None,-1,None,-1,0
76561198844218316,https://steamcommunity.com/profiles/76561198844218316/,ORIENTAL.ling,,0-20,14,0-20,10,50-100,69,0
76561198435562856,https://steamcommunity.com/profiles/76561198435562856/,Enemy,China,20-50,22,0-20,8,100-500,147,0
takashi76561198204043497,https://steamcommunity.com/id/takashi76561198204043497/,SomtideJiāoh1m3,"Chongqing, China",100-200,139,100-500,194,1000-2000,1566,1
0131hulei,https://steamcommunity.com/id/0131hulei/,Ｋ．,"Hunan, China",0-20,6,0-20,5,100-500,113,0
76561198841015830,https://steamcommunity.com/profiles/76561198841015830/,EX_kills_me,"Shanghai, Shanghai, China",0-20,10,0-20,9,20-50,45,2
76561198901646430,https://steamcommunity.com/profiles/76561198901646430/,续玲信集,China,0-20,6,0-20,5,20-50,49,0
76561198403747093,https://steamcommunity.com/profiles/76561198403747093/,乐天派,"Nanjing, Jiangsu, China",0-20,14,0-20,13,100-500,130,0
76561199251591920,https://steamcommunity.com/profiles/76561199251591920/,kon1112,,0-20,2,None,-1,None,-1,0
1078005229,https://steamcommunity.com/id/1078005229/,Moonight,"Changsha, Hunan, China",20-50,42,20-50,22,100-500,140,0
JiuGeYuPingFeng,https://steamcommunity.com/id/JiuGeYuPingFeng/,玉屏风,"Hefei, Anhui, China",20-50,27,20-50,47,100-500,149,0
76561199056162210,https://steamcommunity.com/profiles/76561199056162210/,游科宝宝🥰🥰,China,0-20,4,0-20,3,0-20,17,0
76561198385197298,https://steamcommunity.com/profiles/76561198385197298/,偷一麻袋鸭鸭,China,50-100,67,50-100,52,20-50,43,0
76561199106459911,https://steamcommunity.com/profiles/76561199106459911/,biangbiang打卤面,,0-20,18,20-50,22,100-500,114,0
76561199094629063,https://steamcommunity.com/profiles/76561199094629063/,落燕雨声,,0-20,5,0-20,5,50-100,50,0
76561198322169617,https://steamcommunity.com/profiles/76561198322169617/,Ho1Land,"Bologna, Emilia-Romagna, Italy",20-50,29,20-50,40,100-500,299,0
76561198403042297,https://steamcommunity.com/profiles/76561198403042297/,吴承恩,China,0-20,12,0-20,12,100-500,112,0
76561199488240593,https://steamcommunity.com/profiles/76561199488240593/,麦兜响当当丶,"Guangdong, China",20-50,29,20-50,36,50-100,72,0
76561199468911954,https://steamcommunity.com/profiles/76561199468911954/,yc,,0-20,5,0-20,5,20-50,37,2
76561198842340183,https://steamcommunity.com/profiles/76561198842340183/,secret base,"Yangzhou, Jiangsu, China",0-20,7,0-20,6,20-50,27,0
76561199079868947,https://steamcommunity.com/profiles/76561199079868947/,Xuanye Galaxy,China,20-50,23,0-20,17,100-500,103,0
76561199138572779,https://steamcommunity.com/profiles/76561199138572779/,犬儒,,0-20,4,0-20,4,0-20,13,0
76561198344009964,https://steamcommunity.com/profiles/76561198344009964/,羽徵,,0-20,13,0-20,11,50-100,81,0
76561199188530003,https://steamcommunity.com/profiles/76561199188530003/,anmx,Hong Kong,0-20,5,0-20,5,0-20,16,0
KemiC,https://steamcommunity.com/id/KemiC/,KemiC™老油條,"Xiangfan, Hubei, China",100-200,102,100-500,114,500-1000,588,1
