词语,词频
小时,456
兄弟,70
成灾,240
风雷,256
精生,248
妖为,242
千钧,374
鬼蜮,240
金猴,377
大地,250
白骨,263
愚氓,246
玉宇,362
星系,4
波士顿,2
沙漠,23
邮差,2
废土,2
垃圾,132
猎魔,33
土矿,2
莫哈维,2
刺客,115
龙裔,11
勇者,9
海盗,38
战马,18
经历,33
海洋,20
欧洲,37
埃及,45
美国,56
西奈,18
剧情,476
科学,271
关卡,108
人杰,2
芳心,2
世界,191
除魔,10
术士,2
世人,6
利维,2
魔法,13
克兰,2
白眼,3
横空,38
九州,35
雄姿,35
千古,35
传说,43
妖魔,55
寰球,35
风流,35
时间,159
体验,589
国产,983
单机,143
鸿蒙,27
盘古,25
直面,173
天命,298
混沌,26
巅峰,52
渺渺,25
天地,45
清浊,25
从兹,25
无人,30
重塑,6
重要,211
灵山,141
简体中文,21
免费,415
产品,438
猴子,163
悟空,536
神话,840
小贴士,2
曹思,4
类型,54
不好玩,33
丰富,103
大圣,511
风灵,105
月影,124
恶人,5
善人,5
太平,5
世道,7
世上,5
平均,18
天兵,9
键位,39
手柄,146
本土,23
文化,299
优质,30
中国,1069
大作,265
蕴含着,12
玩家,598
情书,54
大头,155
儿子,39
小说,34
电影,31
滤镜,31
品质,29
代入,38
左拐右,4
地图,781
修改器,29
设置,142
动态,14
模式,68
启动,302
模糊,26
测试工具,29
部分,97
属性,10
界面,23
选项,35
简单,96
网址,1
问题,653
降频,14
流畅,142
解决办法,12
陕北,8
民谣,2
猿神,245
紧张,10
双手,7
焦虑,3
冷汗,5
试试,18
具体,10
电脑,90
说明书,1
自动,20
条路,7
对应,18
煞笔,7
人指,1
厂商,27
运行库,1
代码,6
幽魂,118
三脚,6
玩吧,7
里程碑,128
最美,2
中华,15
首款,33
细节,116
内容,144
优化,728
蜘蛛,8
现原形,2
四妹,2
二郎神,96
焦恩俊,10
时候,334
职业,2
小屁孩,2
战神,146
最好,90
风林,30
故事,194
传奇,26
序章,185
画质,285
卡死,68
全低,1
驱动,66
伟达,4
全部,33
评论,89
修罗,2
阿秀,2
美少女,2
战国时期,2
名城,2
交界地,18
发售,62
纪念,6
日子,4
直接,255
年度,246
云宫迅,26
音震,9
石猴,15
评测,85
游玩,212
四洲,13
天产,9
设计,382
动作,363
长大,14
小时候,94
评分,58
梦想,35
群生,25
仰至仁,23
万物,25
钱学森,2
村里,184
大闹天宫,31
确实,328
不错,463
完美,215
金池,16
宝宝,30
完全,204
体质,19
同类,6
小高潮,2
大学生,215
大专,5
游科,305
